ele,time,name,xcoord,ycoord,zcoord
0.94117,21-04-2025 02:31,488,73.953828,15.055598,0.94117
1.002174,21-04-2025 02:36,489,73.963335,15.057198,1.002174
0.053703,21-04-2025 02:39,490,73.963461,15.052736,0.053703
1.265457,21-04-2025 02:44,491,73.959634,15.044759,1.265457
1.534729,21-04-2025 02:48,492,73.963068,15.042734,1.534729
1.468567,21-04-2025 02:51,493,73.968607,15.041375,1.468567
2.765984,21-04-2025 02:55,494,73.974931,15.040087,2.765984
3.519745,21-04-2025 02:58,495,73.980922,15.038602,3.519745
2.717308,21-04-2025 03:02,496,73.979256,15.032857,2.717308
1.829048,21-04-2025 03:03,497,73.977633,15.030463,1.829048
1.327156,21-04-2025 03:10,498,73.971745,15.021131,1.327156
1.044891,21-04-2025 03:13,499,73.974018,15.017921,1.044891
0.040977,21-04-2025 03:18,500,73.982992,15.015746,0.040977
0.184906,21-04-2025 03:23,501,73.991762,15.013826,0.184906
0.781158,21-04-2025 03:28,502,74.000663,15.010624,0.781158
2.320595,21-04-2025 03:31,503,74.006376,15.010716,2.320595
-0.31002,21-04-2025 03:33,504,74.007024,15.007809,-0.31002
1.714951,21-04-2025 03:38,505,74.00604,14.998873,1.714951
2.302719,21-04-2025 03:43,506,74.012806,14.994543,2.302719
1.508316,21-04-2025 03:48,507,74.021393,14.991029,1.508316
1.95797,21-04-2025 03:53,508,74.030034,14.987659,1.95797
3.76944,21-04-2025 03:56,509,74.02927,14.983316,3.76944
3.976662,21-04-2025 04:02,510,74.022898,14.973161,3.976662
6.149445,21-04-2025 04:05,511,74.023291,14.970713,6.149445
4.945847,21-04-2025 04:12,512,74.036327,14.963809,4.945847
4.18119,21-04-2025 04:14,513,74.041888,14.961712,4.18119
4.278526,21-04-2025 04:21,514,74.039021,14.949738,4.278526
4.960571,21-04-2025 04:25,515,74.035012,14.941548,4.960571
5.00724,21-04-2025 04:28,516,74.033374,14.935644,5.00724
4.049568,21-04-2025 04:33,517,74.038693,14.925438,4.049568
2.139023,21-04-2025 04:36,518,74.042434,14.918539,2.139023
1.265945,21-04-2025 04:40,519,74.041419,14.923412,1.265945
2.566025,21-04-2025 04:44,520,74.040221,14.931618,2.566025
3.327156,21-04-2025 04:48,521,74.038098,14.940121,3.327156
2.597298,21-04-2025 04:53,522,74.030977,14.947354,2.597298
4.210503,21-04-2025 05:01,523,74.031642,14.965437,4.210503
1.408531,21-04-2025 05:04,524,74.032095,14.972572,1.408531
2.110786,21-04-2025 05:08,525,74.032211,14.981489,2.110786
2.313637,21-04-2025 05:11,526,74.03611,14.984683,2.313637
1.822891,22-04-2025 01:13,527,74.038806,14.984051,1.822891
1.550095,22-04-2025 01:17,528,74.030037,14.984481,1.550095
4.206276,22-04-2025 01:22,529,74.020617,14.986892,4.206276
2.530884,22-04-2025 01:26,530,74.012388,14.988662,2.530884
1.453552,22-04-2025 01:28,531,74.013049,14.992375,1.453552
2.149849,22-04-2025 01:29,532,74.013666,14.994108,2.149849
2.504051,22-04-2025 01:29,533,74.014042,14.995107,2.504051
1.786026,22-04-2025 01:30,534,74.014682,14.996866,1.786026
1.635742,22-04-2025 01:31,535,74.015106,14.998229,1.635742
2.315453,22-04-2025 01:34,536,74.018114,15.00495,2.315453
1.898041,22-04-2025 01:39,537,74.013881,15.005,1.898041
1.575027,22-04-2025 01:40,538,74.01168,15.004473,1.575027
1.912216,22-04-2025 01:44,539,74.005688,15.009837,1.912216
0.952347,22-04-2025 01:47,540,74.000071,15.011722,0.952347
1.898903,22-04-2025 01:52,541,73.990957,15.010013,1.898903
2.600006,22-04-2025 01:56,542,73.98235,15.011912,2.600006
2.321449,22-04-2025 02:00,543,73.981575,15.021038,2.321449
2.0662,22-04-2025 02:04,544,73.982455,15.027664,2.0662
1.992554,22-04-2025 02:04,545,73.982802,15.029037,1.992554
1.52121,22-04-2025 02:09,546,73.976293,15.03346,1.52121
2.930397,22-04-2025 02:13,547,73.96967,15.038205,2.930397
4.930969,22-04-2025 02:19,548,73.96846,15.048273,4.930969
2.829285,22-04-2025 02:22,549,73.967229,15.055148,2.829285
1.599945,22-04-2025 02:32,550,73.947689,15.054006,1.599945
