X,Y,ele,time,name
73.911223,15.094366,1.247078,58:11.0,240
73.919369,15.098973,3.089653,03:52.0,241
73.91661,15.105913,1.467369,08:41.0,242
73.911915,15.112359,5.070145,13:12.0,243
73.931316,15.119113,6.430069,24:43.0,244
73.936936,15.125285,5.359512,29:50.0,245
73.93519,15.126451,3.991203,30:56.0,246
73.926478,15.13355,3.913696,37:06.0,247
73.921008,15.137143,2.636902,40:46.0,248
73.932555,15.139186,4.478851,46:59.0,249
73.939923,15.140822,9.329773,50:49.0,250
73.948138,15.142546,7.322929,57:07.0,251
73.949309,15.142447,0.979271,18:35.0,252
73.938943,15.145487,0.273911,24:04.0,253
73.927532,15.15031,-0.355644,30:24.0,254
73.920462,15.154144,1.589226,34:43.0,255
73.924989,15.159028,0.596428,38:11.0,256
73.931816,15.167385,-0.10508,43:49.0,257
73.93693,15.177015,0.576813,50:04.0,258
73.929175,15.181832,0.556671,54:45.0,259
73.91295,15.190736,0.827225,04:09.0,260
73.914569,15.200901,1.941414,12:33.0,261
73.921882,15.210324,2.592987,18:51.0,262
73.924643,15.21507,1.519829,21:47.0,263
73.925682,15.216977,2.546356,22:56.0,264
73.926391,15.219387,1.089279,24:17.0,265
73.919766,15.225593,2.313019,29:44.0,266
73.895523,15.240039,1.31369,44:32.0,267
73.902625,15.252037,3.761772,52:44.0,268
73.911333,15.261799,3.547012,59:37.0,269
73.905144,15.272732,1.616867,08:00.0,270
73.893713,15.28094,1.656242,15:11.0,271
73.885248,15.288993,2.782272,21:57.0,272
73.89488,15.303165,1.854012,30:43.0,273
73.894073,15.312854,0.79245,37:29.0,274
73.889966,15.314656,3.383186,39:43.0,275
73.888377,15.31551,1.659111,40:37.0,276
73.868838,15.323342,0.918205,00:56.0,277
73.868719,15.334436,3.883957,07:55.0,278
73.877338,15.352982,6.325928,18:40.0,279
73.878449,15.35472,5.575981,19:47.0,280
73.877087,15.358524,5.959114,22:21.0,281
73.873482,15.358812,2.121811,24:12.0,282
73.851567,15.358632,3.315247,48:26.0,283
73.844107,15.358845,2.332886,52:04.0,284
73.837171,15.358045,7.292862,55:28.0,285
73.829859,15.358508,3.760895,59:03.0,286
73.820325,15.360502,5.581955,03:42.0,287
73.80997,15.362289,2.712547,08:44.0,288
73.804078,15.369525,2.020752,14:26.0,289
73.804952,15.3777,6.00267,18:40.0,290
73.797611,15.383354,4.332405,24:12.0,291
73.790457,15.385788,1.018173,28:04.0,292
73.786569,15.387975,3.758072,30:21.0,293
73.781943,15.394829,2.725266,34:52.0,294
73.780411,15.403986,3.708267,39:46.0,295
73.775977,15.411507,-0.809013,44:47.0,296
73.768105,15.421458,1.000221,51:25.0,297
73.768549,15.432174,2.683517,57:49.0,298
73.772642,15.442592,3.159134,04:06.0,299
73.773663,15.452102,2.915634,09:45.0,300
73.77481,15.460444,1.653931,14:22.0,301
73.775889,15.463885,2.064209,16:17.0,302
73.776545,15.467855,1.693848,18:25.0,303
73.777752,15.471215,2.646225,20:18.0,304
73.781723,15.478327,2.877502,24:44.0,305
73.786763,15.482935,2.367691,30:21.0,306
73.788606,15.479516,2.847847,32:28.0,307
73.790492,15.472381,3.228828,36:53.0,308
73.795119,15.464432,5.348366,41:59.0,309
73.790386,15.46614,1.184532,20:25.0,310
73.784864,15.462631,0.044403,25:34.0,311
73.790465,15.455216,-0.270828,30:33.0,312
73.79838,15.447642,-0.907005,36:07.0,313
73.806455,15.443265,-0.295158,40:49.0,314
73.81457,15.439098,0.190292,45:29.0,315
73.824726,15.434054,1.043457,51:34.0,316
73.819166,15.432885,0.601471,56:04.0,317
73.802426,15.433647,0.788292,04:34.0,318
73.792535,15.436527,1.577095,09:46.0,319
73.782203,15.443704,0.397057,16:34.0,320
73.778725,15.452554,1.973557,21:32.0,321
73.776706,15.460848,2.931046,25:57.0,322
73.774341,15.467411,1.698776,29:36.0,323
73.773739,15.470524,2.390274,31:18.0,324
73.77063,15.479489,0.981606,36:10.0,325
73.766055,15.49014,1.269035,42:31.0,326
73.75617,15.500486,1.569901,50:07.0,327
73.744464,15.505874,0.54039,56:36.0,328
73.740615,15.510882,2.753242,01:12.0,329
73.747077,15.518269,3.38147,06:19.0,330
73.750524,15.524142,0.25692,09:53.0,331
73.751718,15.527252,1.630287,17:07.0,332
73.754394,15.535706,2.092484,21:49.0,333
73.749019,15.539988,2.458878,25:29.0,334
73.74076,15.545478,1.309608,30:42.0,335
73.73289,15.552534,2.444763,36:42.0,336
73.739161,15.567781,2.957047,46:09.0,337
73.735627,15.577468,1.297859,51:59.0,338
73.730207,15.58328,4.011856,56:10.0,339
73.720125,15.589502,1.948921,02:14.0,340
73.722269,15.596302,4.81424,06:49.0,341
73.723738,15.598647,5.728973,08:15.0,342
73.72613,15.605117,6.605461,12:28.0,343
73.732529,15.609189,7.688622,15:41.0,344
